"Index Name","Date","Open","High","Low","Close"
"NIFTY 50","25 Jan 2018","11095.60","11095.60","11009.20","11069.65"
"NIFTY 50","24 Jan 2018","11069.35","11110.10","11046.15","11086.00"
"NIFTY 50","23 Jan 2018","10997.40","11092.90","10994.55","11083.70"
"NIFTY 50","22 Jan 2018","10883.20","10975.10","10881.40","10966.20"
"NIFTY 50","19 Jan 2018","10829.20","10906.85","10793.90","10894.70"
"NIFTY 50","18 Jan 2018","10873.40","10887.50","10782.40","10817.00"
"NIFTY 50","17 Jan 2018","10702.45","10803.00","10666.75","10788.55"
"NIFTY 50","16 Jan 2018","10761.50","10762.35","10687.85","10700.45"
"NIFTY 50","15 Jan 2018","10718.50","10782.65","10713.80","10741.55"
"NIFTY 50","12 Jan 2018","10682.55","10690.40","10597.10","10681.25"
"NIFTY 50","11 Jan 2018","10637.05","10664.60","10612.35","10651.20"
"NIFTY 50","10 Jan 2018","10652.05","10655.50","10592.70","10632.20"
"NIFTY 50","09 Jan 2018","10645.10","10659.15","10603.60","10637.00"
"NIFTY 50","08 Jan 2018","10591.70","10631.20","10588.55","10623.60"
"NIFTY 50","05 Jan 2018","10534.25","10566.10","10520.10","10558.85"
"NIFTY 50","04 Jan 2018","10469.40","10513.00","10441.45","10504.80"
"NIFTY 50","03 Jan 2018","10482.65","10503.60","10429.55","10443.20"
"NIFTY 50","02 Jan 2018","10477.55","10495.20","10404.65","10442.20"
"NIFTY 50","01 Jan 2018","10531.70","10537.85","10423.10","10435.55"
"NIFTY 50","29 Dec 2017","10492.35","10538.70","10488.65","10530.70"
"NIFTY 50","28 Dec 2017","10498.20","10534.55","10460.45","10477.90"
"NIFTY 50","27 Dec 2017","10531.05","10552.40","10469.25","10490.75"
"NIFTY 50","26 Dec 2017","10512.30","10545.45","10477.95","10531.50"
"NIFTY 50","22 Dec 2017","10457.30","10501.10","10448.25","10493.00"
"NIFTY 50","21 Dec 2017","10473.95","10473.95","10426.90","10440.30"
"NIFTY 50","20 Dec 2017","10494.40","10494.45","10437.15","10444.20"
"NIFTY 50","19 Dec 2017","10414.80","10472.20","10406.00","10463.20"
"NIFTY 50","18 Dec 2017","10263.10","10443.55","10074.80","10388.75"
"NIFTY 50","15 Dec 2017","10345.65","10373.10","10319.65","10333.25"
"NIFTY 50","14 Dec 2017","10229.30","10276.10","10141.55","10252.10"
"NIFTY 50","13 Dec 2017","10236.60","10296.55","10169.85","10192.95"
"NIFTY 50","12 Dec 2017","10324.90","10326.10","10230.20","10240.15"
"NIFTY 50","11 Dec 2017","10310.50","10329.20","10282.05","10322.25"
"NIFTY 50","08 Dec 2017","10198.45","10270.85","10195.25","10265.65"
"NIFTY 50","07 Dec 2017","10063.45","10182.65","10061.90","10166.70"
"NIFTY 50","06 Dec 2017","10088.80","10104.20","10033.35","10044.10"
"NIFTY 50","05 Dec 2017","10118.25","10147.95","10069.10","10118.25"
"NIFTY 50","04 Dec 2017","10175.05","10179.20","10095.70","10127.75"
"NIFTY 50","01 Dec 2017","10263.70","10272.70","10108.55","10121.80"
"NIFTY 50","30 Nov 2017","10332.70","10332.70","10211.25","10226.55"
"NIFTY 50","29 Nov 2017","10376.65","10392.95","10345.90","10361.30"
"NIFTY 50","28 Nov 2017","10387.90","10409.55","10355.20","10370.25"
"NIFTY 50","27 Nov 2017","10361.05","10407.15","10340.20","10399.55"
"NIFTY 50","24 Nov 2017","10366.80","10404.50","10362.25","10389.70"
"NIFTY 50","23 Nov 2017","10358.45","10374.30","10307.30","10348.75"
"NIFTY 50","22 Nov 2017","10350.80","10368.70","10309.55","10342.30"
"NIFTY 50","21 Nov 2017","10329.25","10358.70","10315.05","10326.90"
"NIFTY 50","20 Nov 2017","10287.20","10309.85","10261.50","10298.75"
"NIFTY 50","17 Nov 2017","10324.55","10343.60","10268.05","10283.60"
"NIFTY 50","16 Nov 2017","10152.90","10232.25","10139.20","10214.75"
"NIFTY 50","15 Nov 2017","10171.95","10175.45","10094.00","10118.05"
"NIFTY 50","14 Nov 2017","10223.40","10248.00","10175.55","10186.60"
"NIFTY 50","13 Nov 2017","10322.00","10334.15","10216.25","10224.95"
"NIFTY 50","10 Nov 2017","10304.35","10344.95","10254.10","10321.75"
"NIFTY 50","09 Nov 2017","10358.65","10368.45","10266.95","10308.95"
"NIFTY 50","08 Nov 2017","10361.95","10384.25","10285.50","10303.15"
"NIFTY 50","07 Nov 2017","10477.15","10485.75","10340.80","10350.15"
"NIFTY 50","06 Nov 2017","10431.75","10490.45","10413.75","10451.80"
"NIFTY 50","03 Nov 2017","10461.55","10461.70","10403.60","10452.50"
"NIFTY 50","02 Nov 2017","10440.50","10453.00","10412.55","10423.80"
"NIFTY 50","01 Nov 2017","10390.35","10451.65","10383.05","10440.50"
"NIFTY 50","31 Oct 2017","10364.90","10367.70","10323.95","10335.30"
"NIFTY 50","30 Oct 2017","10353.85","10384.50","10344.30","10363.65"
"NIFTY 50","27 Oct 2017","10362.30","10366.15","10311.30","10323.05"
"NIFTY 50","26 Oct 2017","10291.80","10355.65","10271.85","10343.80"
"NIFTY 50","25 Oct 2017","10321.15","10340.55","10240.90","10295.35"
"NIFTY 50","24 Oct 2017","10218.55","10237.75","10182.40","10207.70"
"NIFTY 50","23 Oct 2017","10176.65","10224.15","10124.50","10184.85"
"NIFTY 50","19 Oct 2017","10210.35","10211.95","10123.35","10146.55"
"NIFTY 50","18 Oct 2017","10209.40","10236.45","10175.75","10210.85"
"NIFTY 50","17 Oct 2017","10227.65","10251.85","10212.60","10234.45"
"NIFTY 50","16 Oct 2017","10207.40","10242.95","10175.10","10230.85"
"NIFTY 50","13 Oct 2017","10123.70","10191.90","10120.10","10167.45"
"NIFTY 50","12 Oct 2017","10011.20","10104.45","9977.10","10096.40"
"NIFTY 50","11 Oct 2017","10042.60","10067.25","9955.80","9984.80"
"NIFTY 50","10 Oct 2017","10013.70","10034.00","10002.30","10016.95"
"NIFTY 50","09 Oct 2017","9988.20","10015.75","9959.45","9988.75"
"NIFTY 50","06 Oct 2017","9908.15","9989.35","9906.60","9979.70"
"NIFTY 50","05 Oct 2017","9927.00","9945.95","9881.85","9888.70"
"NIFTY 50","04 Oct 2017","9884.35","9938.30","9850.65","9914.90"
"NIFTY 50","03 Oct 2017","9893.30","9895.40","9831.05","9859.50"
"NIFTY 50","29 Sep 2017","9814.30","9854.00","9775.35","9788.60"
"NIFTY 50","28 Sep 2017","9736.40","9789.20","9687.55","9768.95"
"NIFTY 50","27 Sep 2017","9920.60","9921.05","9714.40","9735.75"
"NIFTY 50","26 Sep 2017","9875.25","9891.35","9813.00","9871.50"
"NIFTY 50","25 Sep 2017","9960.10","9960.50","9816.05","9872.60"
"NIFTY 50","22 Sep 2017","10094.35","10095.05","9952.80","9964.40"
