"Index Name","Date","Open","High","Low","Close"
"NIFTY 50","07 Jul 2020","10802.85","10813.80","10689.70","10799.65"
"NIFTY 50","06 Jul 2020","10723.85","10811.40","10695.10","10763.65"
"NIFTY 50","03 Jul 2020","10614.95","10631.30","10562.65","10607.35"
"NIFTY 50","02 Jul 2020","10493.05","10598.20","10485.55","10551.70"
"NIFTY 50","01 Jul 2020","10323.80","10447.05","10299.60","10430.05"
"NIFTY 50","30 Jun 2020","10382.60","10401.05","10267.35","10302.10"
"NIFTY 50","29 Jun 2020","10311.95","10337.95","10223.60","10312.40"
"NIFTY 50","26 Jun 2020","10378.90","10409.85","10311.25","10383.00"
"NIFTY 50","25 Jun 2020","10235.55","10361.80","10194.50","10288.90"
"NIFTY 50","24 Jun 2020","10529.25","10553.15","10281.95","10305.30"
"NIFTY 50","23 Jun 2020","10347.95","10484.70","10301.75","10471.00"
"NIFTY 50","22 Jun 2020","10318.75","10393.65","10277.60","10311.20"
"NIFTY 50","19 Jun 2020","10119.00","10272.40","10072.65","10244.40"
"NIFTY 50","18 Jun 2020","9863.25","10111.20","9845.05","10091.65"
"NIFTY 50","17 Jun 2020","9876.70","10003.60","9833.80","9881.15"
"NIFTY 50","16 Jun 2020","10014.80","10046.15","9728.50","9914.00"
"NIFTY 50","15 Jun 2020","9919.35","9943.35","9726.35","9813.70"
"NIFTY 50","12 Jun 2020","9544.95","9996.05","9544.35","9972.90"
"NIFTY 50","11 Jun 2020","10094.10","10112.05","9885.05","9902.00"
"NIFTY 50","10 Jun 2020","10072.60","10148.75","10036.85","10116.15"
"NIFTY 50","09 Jun 2020","10181.15","10291.15","10021.45","10046.65"
"NIFTY 50","08 Jun 2020","10326.75","10328.50","10120.25","10167.45"
"NIFTY 50","05 Jun 2020","10093.80","10177.80","10040.75","10142.15"
"NIFTY 50","04 Jun 2020","10054.25","10123.85","9944.25","10029.10"
"NIFTY 50","03 Jun 2020","10108.30","10176.20","10035.55","10061.55"
"NIFTY 50","02 Jun 2020","9880.85","9995.60","9824.05","9979.10"
"NIFTY 50","01 Jun 2020","9726.85","9931.60","9706.95","9826.15"
"NIFTY 50","29 May 2020","9422.20","9598.85","9376.90","9580.30"
"NIFTY 50","28 May 2020","9364.95","9511.25","9336.50","9490.10"
"NIFTY 50","27 May 2020","9082.20","9334.00","9004.25","9314.95"
"NIFTY 50","26 May 2020","9099.75","9161.65","8996.65","9029.05"
"NIFTY 50","22 May 2020","9067.90","9149.60","8968.55","9039.25"
"NIFTY 50","21 May 2020","9079.45","9178.55","9056.10","9106.25"
"NIFTY 50","20 May 2020","8889.15","9093.80","8875.35","9066.55"
"NIFTY 50","19 May 2020","8961.70","9030.35","8855.30","8879.10"
"NIFTY 50","18 May 2020","9158.30","9158.30","8806.75","8823.25"
"NIFTY 50","15 May 2020","9182.40","9182.40","9050.00","9136.85"
"NIFTY 50","14 May 2020","9213.95","9281.10","9119.75","9142.75"
"NIFTY 50","13 May 2020","9584.20","9584.50","9351.10","9383.55"
"NIFTY 50","12 May 2020","9168.85","9240.85","9043.95","9196.55"
"NIFTY 50","11 May 2020","9348.15","9439.90","9219.95","9239.20"
"NIFTY 50","08 May 2020","9376.95","9382.65","9238.20","9251.50"
"NIFTY 50","07 May 2020","9234.05","9277.85","9175.90","9199.05"
"NIFTY 50","06 May 2020","9226.80","9346.90","9116.50","9270.90"
"NIFTY 50","05 May 2020","9429.40","9450.90","9190.75","9205.60"
"NIFTY 50","04 May 2020","9533.50","9533.50","9266.95","9293.50"
"NIFTY 50","30 Apr 2020","9753.50","9889.05","9731.50","9859.90"
"NIFTY 50","29 Apr 2020","9408.60","9599.85","9392.35","9553.35"
"NIFTY 50","28 Apr 2020","9389.80","9404.40","9260.00","9380.90"
"NIFTY 50","27 Apr 2020","9259.70","9377.10","9250.35","9282.30"
"NIFTY 50","24 Apr 2020","9163.90","9296.90","9141.30","9154.40"
"NIFTY 50","23 Apr 2020","9232.35","9343.60","9170.15","9313.90"
"NIFTY 50","22 Apr 2020","9026.75","9209.75","8946.25","9187.30"
"NIFTY 50","21 Apr 2020","9016.95","9044.40","8909.40","8981.45"
"NIFTY 50","20 Apr 2020","9390.20","9390.85","9230.80","9261.85"
"NIFTY 50","17 Apr 2020","9323.45","9324.00","9091.35","9266.75"
"NIFTY 50","16 Apr 2020","8851.25","9053.75","8821.90","8992.80"
"NIFTY 50","15 Apr 2020","9196.40","9261.20","8874.10","8925.30"
"NIFTY 50","13 Apr 2020","9103.95","9112.05","8912.40","8993.85"
"NIFTY 50","09 Apr 2020","8973.05","9128.35","8904.55","9111.90"
"NIFTY 50","08 Apr 2020","8688.90","9131.70","8653.90","8748.75"
"NIFTY 50","07 Apr 2020","8446.30","8819.40","8360.95","8792.20"
"NIFTY 50","03 Apr 2020","8356.55","8356.55","8055.80","8083.80"
"NIFTY 50","01 Apr 2020","8584.10","8588.10","8198.35","8253.80"
"NIFTY 50","31 Mar 2020","8529.35","8678.30","8358.00","8597.75"
"NIFTY 50","30 Mar 2020","8385.95","8576.00","8244.00","8281.10"
"NIFTY 50","27 Mar 2020","8949.10","9038.90","8522.90","8660.25"
"NIFTY 50","26 Mar 2020","8451.00","8749.05","8304.90","8641.45"
"NIFTY 50","25 Mar 2020","7735.15","8376.75","7714.75","8317.85"
"NIFTY 50","24 Mar 2020","7848.30","8036.95","7511.10","7801.05"
"NIFTY 50","23 Mar 2020","7945.70","8159.25","7583.60","7610.25"
"NIFTY 50","20 Mar 2020","8284.45","8883.00","8178.20","8745.45"
"NIFTY 50","19 Mar 2020","8063.30","8575.45","7832.55","8263.45"
"NIFTY 50","18 Mar 2020","9088.45","9127.55","8407.05","8468.80"
"NIFTY 50","17 Mar 2020","9285.40","9403.80","8915.60","8967.05"
"NIFTY 50","16 Mar 2020","9587.80","9602.20","9165.10","9197.40"
"NIFTY 50","13 Mar 2020","9107.60","10159.40","8555.15","9955.20"
"NIFTY 50","12 Mar 2020","10039.95","10040.75","9508.00","9590.15"
"NIFTY 50","11 Mar 2020","10334.30","10545.10","10334.00","10458.40"
"NIFTY 50","09 Mar 2020","10742.05","10751.55","10294.45","10451.45"
"NIFTY 50","06 Mar 2020","10942.65","11035.10","10827.40","10989.45"
"NIFTY 50","05 Mar 2020","11306.05","11389.50","11244.60","11269.00"
"NIFTY 50","04 Mar 2020","11351.35","11356.60","11082.15","11251.00"
"NIFTY 50","03 Mar 2020","11217.55","11342.25","11152.55","11303.30"
"NIFTY 50","02 Mar 2020","11387.35","11433.00","11036.25","11132.75"
"NIFTY 50","28 Feb 2020","11382.00","11384.80","11175.05","11201.75"
"NIFTY 50","27 Feb 2020","11661.25","11663.85","11536.70","11633.30"
"NIFTY 50","26 Feb 2020","11738.55","11783.25","11639.60","11678.50"
"NIFTY 50","25 Feb 2020","11877.50","11883.05","11779.90","11797.90"
"NIFTY 50","24 Feb 2020","12012.55","12012.55","11813.40","11829.40"
"NIFTY 50","20 Feb 2020","12119.00","12152.00","12071.45","12080.85"
"NIFTY 50","19 Feb 2020","12090.60","12134.70","12042.10","12125.90"
"NIFTY 50","18 Feb 2020","12028.25","12030.75","11908.05","11992.50"
"NIFTY 50","17 Feb 2020","12131.80","12159.60","12037.00","12045.80"
"NIFTY 50","14 Feb 2020","12190.15","12246.70","12091.20","12113.45"
"NIFTY 50","13 Feb 2020","12219.55","12225.65","12139.80","12174.65"
"NIFTY 50","12 Feb 2020","12151.00","12231.75","12144.30","12201.20"
"NIFTY 50","11 Feb 2020","12108.40","12172.30","12099.00","12107.90"
"NIFTY 50","10 Feb 2020","12102.35","12103.55","11990.75","12031.50"
"NIFTY 50","07 Feb 2020","12151.15","12154.70","12073.95","12098.35"
"NIFTY 50","06 Feb 2020","12120.00","12160.60","12084.65","12137.95"
"NIFTY 50","05 Feb 2020","12005.85","12098.15","11953.35","12089.15"
"NIFTY 50","04 Feb 2020","11786.25","11986.15","11783.40","11979.65"
"NIFTY 50","03 Feb 2020","11627.45","11749.85","11614.50","11707.90"
"NIFTY 50","01 Feb 2020","11939.00","12017.35","11633.30","11661.85"
"NIFTY 50","31 Jan 2020","12100.40","12103.55","11945.85","11962.10"
"NIFTY 50","30 Jan 2020","12147.75","12150.30","12010.60","12035.80"
"NIFTY 50","29 Jan 2020","12114.90","12169.60","12103.80","12129.50"
"NIFTY 50","28 Jan 2020","12148.10","12163.55","12024.50","12055.80"
"NIFTY 50","27 Jan 2020","12197.10","12216.60","12107.00","12119.00"
"NIFTY 50","24 Jan 2020","12174.55","12272.15","12149.65","12248.25"
"NIFTY 50","23 Jan 2020","12123.75","12189.00","12094.10","12180.35"
"NIFTY 50","22 Jan 2020","12218.35","12225.05","12087.90","12106.90"
"NIFTY 50","21 Jan 2020","12195.30","12230.05","12162.30","12169.85"
"NIFTY 50","20 Jan 2020","12430.50","12430.50","12216.90","12224.55"
"NIFTY 50","17 Jan 2020","12328.40","12385.45","12321.40","12352.35"
"NIFTY 50","16 Jan 2020","12347.10","12389.05","12315.80","12355.50"
"NIFTY 50","15 Jan 2020","12349.40","12355.15","12278.75","12343.30"
"NIFTY 50","14 Jan 2020","12333.10","12374.25","12308.70","12362.30"
"NIFTY 50","13 Jan 2020","12296.70","12337.75","12285.80","12329.55"
"NIFTY 50","10 Jan 2020","12271.00","12311.20","12213.20","12256.80"
"NIFTY 50","09 Jan 2020","12153.15","12224.05","12132.55","12215.90"
"NIFTY 50","08 Jan 2020","11939.10","12044.95","11929.60","12025.35"
"NIFTY 50","07 Jan 2020","12079.10","12152.15","12005.35","12052.95"
"NIFTY 50","06 Jan 2020","12170.60","12179.10","11974.20","11993.05"
"NIFTY 50","03 Jan 2020","12261.10","12265.60","12191.35","12226.65"
"NIFTY 50","02 Jan 2020","12198.55","12289.90","12195.25","12282.20"
"NIFTY 50","01 Jan 2020","12202.15","12222.20","12165.30","12182.50"
"NIFTY 50","31 Dec 2019","12247.10","12247.10","12151.80","12168.45"
"NIFTY 50","30 Dec 2019","12274.90","12286.45","12213.80","12255.85"
"NIFTY 50","27 Dec 2019","12172.90","12258.45","12157.90","12245.80"
"NIFTY 50","26 Dec 2019","12211.85","12221.55","12118.85","12126.55"
"NIFTY 50","24 Dec 2019","12269.25","12283.70","12202.10","12214.55"
"NIFTY 50","23 Dec 2019","12235.45","12287.15","12213.25","12262.75"
"NIFTY 50","20 Dec 2019","12266.45","12293.90","12252.75","12271.80"
"NIFTY 50","19 Dec 2019","12223.40","12268.35","12191.15","12259.70"
"NIFTY 50","18 Dec 2019","12197.00","12237.70","12163.45","12221.65"
"NIFTY 50","17 Dec 2019","12082.45","12182.75","12070.35","12165.00"
"NIFTY 50","16 Dec 2019","12131.35","12134.65","12046.30","12053.95"
"NIFTY 50","13 Dec 2019","12026.40","12098.85","12023.60","12086.70"
"NIFTY 50","12 Dec 2019","11944.30","12005.50","11934.00","11971.80"
"NIFTY 50","11 Dec 2019","11867.35","11923.20","11832.30","11910.15"
"NIFTY 50","10 Dec 2019","11950.50","11953.20","11844.70","11856.80"
"NIFTY 50","09 Dec 2019","11939.10","11981.95","11888.05","11937.50"
"NIFTY 50","06 Dec 2019","12047.35","12057.05","11888.85","11921.50"
"NIFTY 50","05 Dec 2019","12071.25","12081.20","11998.75","12018.40"
"NIFTY 50","04 Dec 2019","11969.95","12054.70","11935.30","12043.20"
"NIFTY 50","03 Dec 2019","12067.65","12068.60","11956.40","11994.20"
"NIFTY 50","02 Dec 2019","12137.05","12137.15","12023.70","12048.20"
"NIFTY 50","29 Nov 2019","12146.20","12147.40","12017.40","12056.05"
"NIFTY 50","28 Nov 2019","12132.10","12158.80","12099.95","12151.15"
"NIFTY 50","27 Nov 2019","12068.50","12114.90","12055.15","12100.70"
"NIFTY 50","26 Nov 2019","12110.20","12132.45","12006.35","12037.70"
"NIFTY 50","25 Nov 2019","11922.45","12084.50","11919.75","12073.75"
"NIFTY 50","22 Nov 2019","11967.30","11968.10","11883.50","11914.40"
"NIFTY 50","21 Nov 2019","12025.65","12028.20","11956.90","11968.40"
"NIFTY 50","20 Nov 2019","12004.75","12038.60","11966.05","11999.10"
"NIFTY 50","19 Nov 2019","11919.45","11958.85","11881.75","11940.10"
"NIFTY 50","18 Nov 2019","11915.15","11946.20","11867.60","11884.50"
"NIFTY 50","15 Nov 2019","11904.20","11973.65","11879.25","11895.45"
"NIFTY 50","14 Nov 2019","11858.75","11895.65","11802.65","11872.10"
"NIFTY 50","13 Nov 2019","11908.30","11946.80","11823.20","11840.45"
"NIFTY 50","11 Nov 2019","11879.20","11932.65","11853.95","11913.45"
"NIFTY 50","08 Nov 2019","11987.15","12034.15","11888.75","11908.15"
"NIFTY 50","07 Nov 2019","12021.10","12021.40","11946.85","12012.05"
"NIFTY 50","06 Nov 2019","11911.50","12002.90","11850.25","11966.05"
"NIFTY 50","05 Nov 2019","11974.60","11978.95","11861.90","11917.20"
"NIFTY 50","04 Nov 2019","11928.90","11989.15","11905.35","11941.30"
"NIFTY 50","01 Nov 2019","11886.60","11918.30","11843.35","11890.60"
"NIFTY 50","31 Oct 2019","11890.45","11945.00","11855.10","11877.45"
"NIFTY 50","30 Oct 2019","11883.90","11883.95","11784.45","11844.10"
"NIFTY 50","29 Oct 2019","11643.95","11809.40","11627.35","11786.85"
"NIFTY 50","27 Oct 2019","11662.25","11672.40","11604.60","11627.15"
"NIFTY 50","25 Oct 2019","11646.15","11646.90","11490.75","11583.90"
"NIFTY 50","24 Oct 2019","11661.65","11679.60","11534.65","11582.60"
"NIFTY 50","23 Oct 2019","11596.20","11651.60","11554.40","11604.10"
"NIFTY 50","22 Oct 2019","11657.15","11714.35","11573.65","11588.35"
"NIFTY 50","18 Oct 2019","11580.30","11684.70","11553.15","11661.85"
"NIFTY 50","17 Oct 2019","11466.30","11599.10","11439.65","11586.35"
"NIFTY 50","16 Oct 2019","11464.95","11481.05","11411.10","11464.00"
"NIFTY 50","15 Oct 2019","11360.85","11462.35","11342.10","11428.30"
"NIFTY 50","14 Oct 2019","11335.90","11420.45","11290.05","11341.15"
"NIFTY 50","11 Oct 2019","11257.70","11362.90","11189.40","11305.05"
"NIFTY 50","10 Oct 2019","11280.50","11293.35","11208.55","11234.55"
"NIFTY 50","09 Oct 2019","11152.95","11321.60","11090.15","11313.30"
"NIFTY 50","07 Oct 2019","11196.20","11233.85","11112.65","11126.40"
"NIFTY 50","04 Oct 2019","11388.45","11400.30","11158.35","11174.75"
"NIFTY 50","03 Oct 2019","11322.25","11370.40","11257.35","11314.00"
"NIFTY 50","01 Oct 2019","11515.40","11554.20","11247.90","11359.90"
"NIFTY 50","30 Sep 2019","11491.15","11508.25","11390.80","11474.45"
"NIFTY 50","27 Sep 2019","11556.35","11593.60","11499.75","11512.40"
"NIFTY 50","26 Sep 2019","11469.85","11610.85","11466.35","11571.20"
"NIFTY 50","25 Sep 2019","11564.85","11564.95","11416.10","11440.20"
"NIFTY 50","24 Sep 2019","11590.70","11655.05","11539.20","11588.20"
"NIFTY 50","23 Sep 2019","11542.70","11694.85","11471.35","11600.20"
